first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
4/26/2020,5/2/2020,80+,?? ????,<15,0,0
4/26/2020,5/2/2020,80+,????,4478,17,<15
4/26/2020,5/2/2020,NULL,???,950,21,0
4/26/2020,5/2/2020,NULL,?? ????,774,<15,0
4/26/2020,5/2/2020,NULL,????,942,<15,0
5/3/2020,5/9/2020,0-19,???,2551,50,0
5/3/2020,5/9/2020,0-19,?? ????,27,0,0
5/3/2020,5/9/2020,0-19,????,2033,38,0
5/3/2020,5/9/2020,20-24,???,1774,22,0
5/3/2020,5/9/2020,20-24,?? ????,<15,0,0
5/3/2020,5/9/2020,20-24,????,1726,22,0
5/3/2020,5/9/2020,25-29,???,1802,<15,0
5/3/2020,5/9/2020,25-29,?? ????,<15,0,0
5/3/2020,5/9/2020,25-29,????,2088,<15,0
5/3/2020,5/9/2020,30-34,???,1821,<15,0
5/3/2020,5/9/2020,30-34,?? ????,<15,0,0
5/3/2020,5/9/2020,30-34,????,2125,<15,0
5/3/2020,5/9/2020,35-39,???,1788,<15,0
5/3/2020,5/9/2020,35-39,????,1940,<15,0
5/3/2020,5/9/2020,40-44,???,1691,<15,<15
5/3/2020,5/9/2020,40-44,?? ????,<15,0,0
5/3/2020,5/9/2020,40-44,????,2396,<15,0
5/3/2020,5/9/2020,45-49,???,1615,<15,0
5/3/2020,5/9/2020,45-49,?? ????,<15,0,0
5/3/2020,5/9/2020,45-49,????,1880,<15,0
5/3/2020,5/9/2020,50-54,???,1373,<15,0
5/3/2020,5/9/2020,50-54,?? ????,<15,0,0
5/3/2020,5/9/2020,50-54,????,1697,<15,0
5/3/2020,5/9/2020,55-59,???,1071,<15,0
5/3/2020,5/9/2020,55-59,?? ????,<15,0,0
5/3/2020,5/9/2020,55-59,????,1502,<15,0
5/3/2020,5/9/2020,60-64,???,1059,<15,<15
5/3/2020,5/9/2020,60-64,?? ????,<15,0,0
5/3/2020,5/9/2020,60-64,????,1453,<15,0
5/3/2020,5/9/2020,65-69,???,1034,<15,<15
